node_id,longitude,latitude,node_type,source_id
N12d4807761_41d8964953,12.4807761,41.8964953,road_vertex,way/1197185106
N12d4807764_41d8846541,12.4807764,41.8846541,road_vertex,way/24534817
N12d4807764_41d8879975,12.4807764,41.8879975,road_vertex,way/834012173
N12d4807789_41d8944658,12.4807789,41.8944658,road_vertex,way/1175160272
N12d4807793_41d8950386,12.4807793,41.8950386,road_vertex,way/10639982
N12d4807823_41d8925797,12.4807823,41.8925797,road_vertex,way/1238101041
N12d4807823_41d8945005,12.4807823,41.8945005,road_vertex,way/220218290
N12d4807825_41d8889890,12.4807825,41.8889890,road_vertex,way/1005876887
N12d4807825_41d8895278,12.4807825,41.8895278,road_vertex,way/43675696
N12d4807861_41d8950844,12.4807861,41.8950844,road_vertex,way/1137951715
N12d4807886_41d8908665,12.4807886,41.8908665,road_vertex,way/1359176520
N12d4807894_41d8885417,12.4807894,41.8885417,road_vertex,way/1220408612
N12d4807902_41d8908107,12.4807902,41.8908107,road_vertex,way/1359177417
N12d4807908_41d8888872,12.4807908,41.8888872,road_vertex,way/40860380
N12d4807908_41d8898437,12.4807908,41.8898437,road_vertex,way/1216287335
N12d4807918_41d8949918,12.4807918,41.8949918,road_vertex,way/1137951732
N12d4807925_41d8866565,12.4807925,41.8866565,road_vertex,way/40872929
N12d4807926_41d8964547,12.4807926,41.8964547,road_vertex,way/36780070
N12d4807998_41d8885851,12.4807998,41.8885851,road_vertex,way/40860382
N12d4808053_41d8908349,12.4808053,41.8908349,road_vertex,way/1359177416
N12d4808085_41d8924205,12.4808085,41.8924205,road_vertex,way/123817459
N12d4808088_41d8889704,12.4808088,41.8889704,road_vertex,way/1005876886
N12d4808091_41d8944816,12.4808091,41.8944816,road_vertex,way/713339406
N12d4808094_41d8923863,12.4808094,41.8923863,road_vertex,way/123817459
N12d4808099_41d8847246,12.4808099,41.8847246,road_vertex,way/1272829842
N12d4808114_41d8950308,12.4808114,41.8950308,road_vertex,way/10639982
N12d4808127_41d8889903,12.4808127,41.8889903,road_vertex,way/40860384
N12d4808154_41d8848573,12.4808154,41.8848573,road_vertex,way/24534753
N12d4808187_41d8846267,12.4808187,41.8846267,road_vertex,way/1052631578
N12d4808236_41d8898502,12.4808236,41.8898502,road_vertex,way/1216287335
N12d4808241_41d8913630,12.4808241,41.8913630,road_vertex,way/123817469
N12d4808254_41d8865988,12.4808254,41.8865988,road_vertex,way/40872929
N12d4808300_41d8949812,12.4808300,41.8949812,road_vertex,way/1137951732
N12d4808303_41d8864673,12.4808303,41.8864673,road_vertex,way/40872929
N12d4808309_41d8924410,12.4808309,41.8924410,road_vertex,way/123817459
N12d4808329_41d8965043,12.4808329,41.8965043,road_vertex,way/1197185106
N12d4808354_41d8923653,12.4808354,41.8923653,road_vertex,way/123817459
N12d4808405_41d8959595,12.4808405,41.8959595,road_vertex,way/125226009
N12d4808430_41d8944993,12.4808430,41.8944993,road_vertex,way/713339406
N12d4808436_41d8865436,12.4808436,41.8865436,road_vertex,way/40872929
N12d4808439_41d8959299,12.4808439,41.8959299,road_vertex,way/125226009
N12d4808459_41d8865022,12.4808459,41.8865022,road_vertex,way/40872929
N12d4808463_41d8885952,12.4808463,41.8885952,road_vertex,way/40860382
N12d4808464_41d8959889,12.4808464,41.8959889,road_vertex,way/125226009
N12d4808474_41d8865209,12.4808474,41.8865209,road_vertex,way/40872929
N12d4808489_41d8950187,12.4808489,41.8950187,road_vertex,way/10639982
N12d4808505_41d8945025,12.4808505,41.8945025,road_vertex,way/1137951732
N12d4808531_41d8881462,12.4808531,41.8881462,road_vertex,way/834012173
N12d4808533_41d8949715,12.4808533,41.8949715,road_vertex,way/1137951732
N12d4808547_41d8896025,12.4808547,41.8896025,road_vertex,way/961979105
N12d4808562_41d8848280,12.4808562,41.8848280,road_vertex,way/24534753
N12d4808564_41d8959018,12.4808564,41.8959018,road_vertex,way/125226009
N12d4808586_41d8895462,12.4808586,41.8895462,road_vertex,way/43675696
N12d4808601_41d8909487,12.4808601,41.8909487,road_vertex,way/32504840
N12d4808604_41d8881542,12.4808604,41.8881542,road_vertex,way/834012173
N12d4808614_41d8960166,12.4808614,41.8960166,road_vertex,way/125226009
N12d4808621_41d8928324,12.4808621,41.8928324,road_vertex,way/303405560
N12d4808635_41d8923243,12.4808635,41.8923243,road_vertex,way/123817458
N12d4808639_41d8848224,12.4808639,41.8848224,road_vertex,way/1433379450
N12d4808681_41d8923601,12.4808681,41.8923601,road_vertex,way/123817459
N12d4808700_41d8924481,12.4808700,41.8924481,road_vertex,way/123817459
N12d4808771_41d8958765,12.4808771,41.8958765,road_vertex,way/125226009
N12d4808784_41d8950065,12.4808784,41.8950065,road_vertex,way/10639982
N12d4808789_41d8846704,12.4808789,41.8846704,road_vertex,way/1272829844
N12d4808794_41d8922570,12.4808794,41.8922570,road_vertex,way/123817458
N12d4808816_41d8949524,12.4808816,41.8949524,road_vertex,way/1144459368
N12d4808820_41d8926958,12.4808820,41.8926958,road_vertex,way/1238101041
N12d4808845_41d8960411,12.4808845,41.8960411,road_vertex,way/125226009
N12d4808866_41d8835166,12.4808866,41.8835166,road_vertex,way/24534818
N12d4808870_41d8949487,12.4808870,41.8949487,road_vertex,way/1137951732
N12d4808873_41d8924848,12.4808873,41.8924848,road_vertex,way/123817457
N12d4808886_41d8896193,12.4808886,41.8896193,road_vertex,way/1216287334
N12d4808905_41d8877045,12.4808905,41.8877045,road_vertex,way/1216295043
N12d4808913_41d8896130,12.4808913,41.8896130,road_vertex,way/1216287334
N12d4808920_41d8846916,12.4808920,41.8846916,road_vertex,way/1272829844
N12d4808929_41d8949611,12.4808929,41.8949611,road_vertex,way/1144459368
N12d4808942_41d8886185,12.4808942,41.8886185,road_vertex,way/40860382
N12d4808953_41d8912842,12.4808953,41.8912842,road_vertex,way/123817469
N12d4808961_41d8910456,12.4808961,41.8910456,road_vertex,way/1238101044
N12d4809000_41d8922098,12.4809000,41.8922098,road_vertex,way/123817458
N12d4809001_41d8847964,12.4809001,41.8847964,road_vertex,way/24534753
