edge_id,from_node_id,to_node_id,distance_km,travel_time_min,highway,surface,access,oneway,lit,wheelchair,routable_walk,source_id
Eway/11491481_8,N12d4935899_41d8895632,N12d4936552_41d8896284,0.009043,0.11,footway,asphalt,,,yes,,yes,way/11491481
Eway/11491481_8_R,N12d4936552_41d8896284,N12d4935899_41d8895632,0.009043,0.11,footway,asphalt,,,yes,,yes,way/11491481
Eway/11491481_9,N12d4936552_41d8896284,N12d4937172_41d8897349,0.012907,0.15,footway,asphalt,,,yes,,yes,way/11491481
Eway/11491481_9_R,N12d4937172_41d8897349,N12d4936552_41d8896284,0.012907,0.15,footway,asphalt,,,yes,,yes,way/11491481
Eway/11491481_10,N12d4937172_41d8897349,N12d4937765_41d8898576,0.014500,0.17,footway,asphalt,,,yes,,yes,way/11491481
Eway/11491481_10_R,N12d4937765_41d8898576,N12d4937172_41d8897349,0.014500,0.17,footway,asphalt,,,yes,,yes,way/11491481
Eway/11491481_11,N12d4937765_41d8898576,N12d4938575_41d8900385,0.021203,0.25,footway,asphalt,,,yes,,yes,way/11491481
Eway/11491481_11_R,N12d4938575_41d8900385,N12d4937765_41d8898576,0.021203,0.25,footway,asphalt,,,yes,,yes,way/11491481
Eway/11491481_12,N12d4938575_41d8900385,N12d4938865_41d8901207,0.009450,0.11,footway,asphalt,,,yes,,yes,way/11491481
Eway/11491481_12_R,N12d4938865_41d8901207,N12d4938575_41d8900385,0.009450,0.11,footway,asphalt,,,yes,,yes,way/11491481
Eway/11491481_13,N12d4938865_41d8901207,N12d4939003_41d8901803,0.006725,0.08,footway,asphalt,,,yes,,yes,way/11491481
Eway/11491481_13_R,N12d4939003_41d8901803,N12d4938865_41d8901207,0.006725,0.08,footway,asphalt,,,yes,,yes,way/11491481
Eway/11491481_14,N12d4939003_41d8901803,N12d4939054_41d8902227,0.004734,0.06,footway,asphalt,,,yes,,yes,way/11491481
Eway/11491481_14_R,N12d4939054_41d8902227,N12d4939003_41d8901803,0.004734,0.06,footway,asphalt,,,yes,,yes,way/11491481
Eway/11491481_15,N12d4939054_41d8902227,N12d4939054_41d8902535,0.003425,0.04,footway,asphalt,,,yes,,yes,way/11491481
Eway/11491481_15_R,N12d4939054_41d8902535,N12d4939054_41d8902227,0.003425,0.04,footway,asphalt,,,yes,,yes,way/11491481
Eway/11491481_16,N12d4939054_41d8902535,N12d4939024_41d8902743,0.002326,0.03,footway,asphalt,,,yes,,yes,way/11491481
Eway/11491481_16_R,N12d4939024_41d8902743,N12d4939054_41d8902535,0.002326,0.03,footway,asphalt,,,yes,,yes,way/11491481
Eway/11491481_17,N12d4939024_41d8902743,N12d4938961_41d8902954,0.002403,0.03,footway,asphalt,,,yes,,yes,way/11491481
Eway/11491481_17_R,N12d4938961_41d8902954,N12d4939024_41d8902743,0.002403,0.03,footway,asphalt,,,yes,,yes,way/11491481
Eway/11491481_18,N12d4938961_41d8902954,N12d4938879_41d8903173,0.002528,0.03,footway,asphalt,,,yes,,yes,way/11491481
Eway/11491481_18_R,N12d4938879_41d8903173,N12d4938961_41d8902954,0.002528,0.03,footway,asphalt,,,yes,,yes,way/11491481
Eway/11491481_19,N12d4938879_41d8903173,N12d4938766_41d8903440,0.003113,0.04,footway,asphalt,,,yes,,yes,way/11491481
Eway/11491481_19_R,N12d4938766_41d8903440,N12d4938879_41d8903173,0.003113,0.04,footway,asphalt,,,yes,,yes,way/11491481
Eway/11491481_20,N12d4938766_41d8903440,N12d4938650_41d8903670,0.002732,0.03,footway,asphalt,,,yes,,yes,way/11491481
Eway/11491481_20_R,N12d4938650_41d8903670,N12d4938766_41d8903440,0.002732,0.03,footway,asphalt,,,yes,,yes,way/11491481
Eway/11491481_21,N12d4938650_41d8903670,N12d4938503_41d8903930,0.003137,0.04,footway,asphalt,,,yes,,yes,way/11491481
Eway/11491481_21_R,N12d4938503_41d8903930,N12d4938650_41d8903670,0.003137,0.04,footway,asphalt,,,yes,,yes,way/11491481
Eway/11491481_22,N12d4938503_41d8903930,N12d4938251_41d8904268,0.004298,0.05,footway,asphalt,,,yes,,yes,way/11491481
Eway/11491481_22_R,N12d4938251_41d8904268,N12d4938503_41d8903930,0.004298,0.05,footway,asphalt,,,yes,,yes,way/11491481
Eway/11491481_23,N12d4938251_41d8904268,N12d4937961_41d8904609,0.004488,0.05,footway,asphalt,,,yes,,yes,way/11491481
Eway/11491481_23_R,N12d4937961_41d8904609,N12d4938251_41d8904268,0.004488,0.05,footway,asphalt,,,yes,,yes,way/11491481
Eway/11491481_24,N12d4937961_41d8904609,N12d4937575_41d8904966,0.005096,0.06,footway,asphalt,,,yes,,yes,way/11491481
Eway/11491481_24_R,N12d4937575_41d8904966,N12d4937961_41d8904609,0.005096,0.06,footway,asphalt,,,yes,,yes,way/11491481
